序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4139,001314,亿道信息,44.55,-2.3,-1.05,23549.0,105696533.0,2.98,45.84,44.48,45.7,45.6,0.61,4.55,-999.39,3.06,6301432665.0,2305440270.0,0.04,0.04,-14.26,-14.08
4140,000717,中南股份,2.55,-2.3,-0.06,186724.0,47957618.0,1.92,2.6,2.55,2.6,2.61,0.73,0.77,-11.67,0.79,6180806255.0,6180017348.0,-0.39,0.0,-6.59,-6.25
4141,688549,中巨芯-U,7.23,-2.3,-0.17,122265.0,89010645.0,2.57,7.42,7.23,7.42,7.4,0.65,2.12,-2255.58,3.53,10680705480.0,4177031200.0,-0.14,-0.14,-19.22,-15.14
4142,002589,瑞康医药,2.97,-2.3,-0.07,280737.0,83906047.95,2.96,3.05,2.96,3.04,3.04,0.67,2.06,78.84,0.81,4468990099.0,4055806898.0,0.0,0.0,0.0,0.0
4143,603665,康隆达,19.51,-2.3,-0.46,31813.0,62280580.0,3.3,20.0,19.34,20.0,19.97,0.63,1.99,6.93,4.35,3161816100.0,3124871964.0,0.05,0.26,25.06,38.17
4144,600540,新赛股份,4.68,-2.3,-0.11,441515.0,209866784.0,4.18,4.88,4.68,4.78,4.79,0.79,7.59,37.39,5.4,2720844173.0,2720844173.0,0.0,-0.43,14.43,18.78
4145,603305,旭升集团,13.16,-2.3,-0.31,137036.0,180393665.0,3.86,13.48,12.96,13.48,13.47,0.97,1.44,32.79,1.85,12545590947.0,12545590947.0,0.0,0.15,-26.64,0.08
4146,603655,朗博科技,24.25,-2.3,-0.57,15918.0,38749824.0,3.83,25.0,24.05,25.0,24.82,1.04,1.5,62.41,4.65,2570500000.0,2570500000.0,0.08,-0.04,-1.94,-0.16
4147,300921,南凌科技,26.3,-2.3,-0.62,24412.0,64504011.0,2.12,26.79,26.22,26.7,26.92,0.57,3.07,260.14,4.21,3463494472.0,2088669862.0,0.0,0.15,-15.49,-2.95
4148,301266,宇邦新材,31.29,-2.31,-0.74,22673.0,71100133.3,2.84,31.99,31.08,31.99,32.03,0.8,5.23,25.55,1.92,3438101175.0,1356893760.0,0.03,-0.13,-12.72,-6.6
4149,300576,容大感光,41.83,-2.31,-0.99,38131.0,160314078.91,2.45,42.79,41.74,42.79,42.82,0.72,2.08,92.07,7.78,12747934612.0,7657236203.0,-0.07,-0.02,-11.9,-7.41
4150,301169,零点有数,36.83,-2.31,-0.87,8060.0,29883081.0,2.6,37.76,36.78,37.76,37.7,0.71,1.12,-30.18,5.65,2653252941.0,2652424266.0,-0.05,-0.03,-15.64,-8.02
4151,301565,中仑新材,20.27,-2.31,-0.48,24680.0,50252156.5,2.89,20.81,20.21,20.8,20.75,0.83,4.11,67.01,3.41,8108202700.0,1216402700.0,0.0,-0.1,-5.41,-5.28
4152,002642,荣联科技,7.6,-2.31,-0.18,226636.0,172929418.0,2.83,7.79,7.57,7.75,7.78,0.44,3.43,1418.61,4.3,5028010379.0,5028010379.0,0.0,0.13,-6.52,6.29
4153,600552,凯盛科技,11.4,-2.31,-0.27,210182.0,241001588.0,2.74,11.7,11.38,11.67,11.67,0.72,2.23,112.89,2.57,10768518592.0,10768518592.0,0.0,0.0,-7.62,-0.09
4154,300707,威唐工业,13.53,-2.31,-0.32,44638.0,60455842.25,3.25,13.85,13.4,13.76,13.85,0.78,3.12,-65.32,2.16,2394840050.0,1938593080.0,-0.07,0.07,-11.16,-11.97
4155,603636,南威软件,12.28,-2.31,-0.29,107399.0,132747705.0,3.42,12.69,12.26,12.49,12.57,0.73,1.85,-51.36,3.06,7126827222.0,7126827222.0,-0.08,0.0,-16.41,16.95
4156,601865,福莱特,15.14,-2.32,-0.36,119613.0,181643037.0,3.16,15.54,15.05,15.51,15.5,0.87,0.63,83.56,1.67,35471810904.0,28766986204.0,-0.07,0.07,-29.29,-23.11
4157,688207,格灵深瞳,13.48,-2.32,-0.32,64678.0,87666672.0,3.12,13.86,13.43,13.81,13.8,1.12,3.43,-19.61,1.75,3490958022.0,2543356605.0,0.15,0.0,-25.11,-5.34
4158,300304,云意电气,7.59,-2.32,-0.18,137952.0,105158082.38,2.7,7.76,7.55,7.72,7.77,0.81,1.61,17.13,2.19,6665110820.0,6493877885.0,0.0,0.0,-11.74,-4.41
4159,300798,锦鸡股份,7.15,-2.32,-0.17,152108.0,109267942.49,3.42,7.35,7.1,7.34,7.32,0.57,4.08,-117.35,1.98,3352105607.0,2665364452.0,0.0,0.0,-2.19,0.0
4160,688285,高铁电气,7.99,-2.32,-0.19,20989.0,16897696.0,2.32,8.18,7.99,8.18,8.18,0.57,0.56,153.69,1.82,3006556405.0,3006556405.0,0.0,-0.13,5.27,7.97
4161,300101,振芯科技,17.67,-2.32,-0.42,193416.0,342501169.75,3.7,18.13,17.46,18.13,18.09,1.36,3.42,293.55,5.55,10034893719.0,10001987143.0,0.0,0.17,-7.15,-18.42
4162,688183,生益电子,30.33,-2.32,-0.72,147684.0,446633157.0,4.06,30.91,29.65,30.66,31.05,0.72,1.78,31.51,5.58,25229136238.0,25229136238.0,0.0,0.0,-20.21,-22.75
4163,688456,有研粉材,33.28,-2.32,-0.79,12751.0,42741812.0,3.2,34.34,33.25,34.34,34.07,1.21,1.23,83.43,2.83,3449804800.0,3449804800.0,0.0,0.0,-3.45,0.12
4164,002248,华东数控,8.41,-2.32,-0.2,151976.0,128597805.6,3.02,8.64,8.38,8.6,8.61,1.11,4.94,81.19,32.59,2586037996.0,2586037996.0,-0.12,-0.24,-0.94,7.96
4165,300940,南极光,17.25,-2.32,-0.41,61909.0,108147054.28,3.4,17.8,17.2,17.52,17.66,0.71,4.2,32.3,3.46,3840615417.0,2543470289.0,0.0,0.12,12.75,27.78
4166,002156,通富微电,25.69,-2.32,-0.61,251381.0,648238956.0,2.66,26.25,25.55,26.25,26.3,0.95,1.66,96.13,2.64,38987064669.0,38983347583.0,0.0,0.04,-14.74,-13.06
4167,603171,税友股份,43.43,-2.32,-1.03,30255.0,132433654.0,2.92,44.6,43.3,44.5,44.46,0.69,0.75,178.47,7.01,17665727948.0,17627802700.0,-0.05,0.0,14.17,42.39
4168,300323,华灿光电,6.74,-2.32,-0.16,118873.0,80498853.0,2.75,6.9,6.71,6.9,6.9,0.75,1.35,-28.01,1.6,10939011892.0,5925470178.0,0.15,0.0,-19.09,-18.6
